Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Poppy,LeeSin,Akali,Jinx,Rell,Mordekaiser,Karthus,Kaisa,Tristana,Pyke,Red
Jax,Khazix,Katarina,Veigar,Soraka,Aatrox,MasterYi,Sylas,Lucian,Nami,Red
Teemo,MasterYi,Skarner,Zeri,Lulu,Ornn,Viego,Akali,Jhin,Alistar,Red
Gangplank,Evelynn,Graves,Tristana,Rell,Aatrox,Morgana,Taliyah,Jhin,Thresh,Red
Zac,Nidalee,Tristana,Varus,Pyke,Gragas,Viego,Cassiopeia,Draven,Nautilus,Blue
Ryze,JarvanIV,Yone,Draven,Ashe,KSante,Brand,Tristana,Varus,Lux,Red
Sejuani,Skarner,Zed,Brand,Sona,Camille,Kindred,Hwei,Jinx,Milio,Red
Kassadin,JarvanIV,Corki,Pyke,Lulu,Fiora,MasterYi,Yasuo,Varus,Thresh,Blue
Viego,Nidalee,Tristana,Zeri,Sona,Sejuani,Kayn,Annie,Kaisa,Pyke,Blue
Camille,Elise,Tristana,Jinx,Thresh,Kled,Taliyah,Lux,Varus,Blitzcrank,Blue
Illaoi,Olaf,Vladimir,Draven,Pyke,Yone,Taliyah,Naafiri,Jinx,Thresh,Blue
Akshan,Hecarim,Akali,Jinx,Milio,Quinn,Nidalee,Hwei,Kalista,Thresh,Red
Kennen,Viego,Tryndamere,Aphelios,Nami,Maokai,Kayn,Xerath,Varus,Karma,Red
Camille,Taliyah,Tryndamere,Jhin,Nautilus,Shen,Brand,Qiyana,KogMaw,Sona,Blue
Tryndamere,Kindred,Akali,Kalista,Leona,Gangplank,Gragas,Irelia,Aphelios,Lulu,Blue
Rumble,LeeSin,Irelia,Kalista,Thresh,Tryndamere,Lillia,Corki,Jinx,Neeko,Red
Gwen,Viego,Renekton,Jhin,Karma,Kayle,Kindred,Taliyah,Draven,Renata,Red
Ornn,Kindred,Heimerdinger,Draven,Nami,Syndra,Udyr,Sylas,Jinx,Soraka,Red
Camille,Vi,Hwei,Jinx,Galio,Mordekaiser,Nidalee,Tristana,Zeri,Rell,Blue
Renekton,Elise,Tristana,Samira,Nautilus,Gragas,Briar,Irelia,Kaisa,Xerath,Red
Varus,Lillia,Tristana,Skarner,Braum,Akali,Vi,Syndra,Jinx,Thresh,Red
Renekton,Skarner,Malzahar,Senna,TahmKench,Quinn,Nidalee,Cassiopeia,Varus,Nautilus,Blue
Camille,Taliyah,Tristana,Varus,Nautilus,Jax,Sylas,Annie,Lucian,Nami,Blue
Sett,Nidalee,Tristana,Varus,Nautilus,Gnar,Sylas,Ryze,Jhin,Nami,Red
Urgot,LeeSin,Nautilus,Caitlyn,Kassadin,TwistedFate,Sylas,Zed,Senna,Ornn,Red
Illaoi,Khazix,Singed,Aphelios,Thresh,Tryndamere,JarvanIV,TwistedFate,Senna,Ornn,Red
Camille,Nidalee,Ahri,Jinx,Nautilus,Malphite,JarvanIV,TwistedFate,Lucian,Nami,Blue
Renekton,Karthus,TwistedFate,Varus,Janna,Quinn,LeeSin,Akali,Jhin,Rell,Red
Jayce,Taliyah,Lucian,Varus,Nautilus,Fiora,LeeSin,Akali,Jhin,Karma,Blue
Tryndamere,Khazix,Vladimir,Ashe,Milio,Teemo,JarvanIV,TwistedFate,Aphelios,Lulu,Red
Yone,Taliyah,Zed,Zeri,Milio,Vayne,Gwen,Corki,Veigar,Rakan,Blue
Poppy,Nunu,Yasuo,Smolder,Alistar,Aatrox,Gragas,Riven,Kalista,Nautilus,Red
Vayne,Graves,Azir,Jhin,Rumble,Malphite,Gragas,Irelia,Draven,Pyke,Red
Fiora,JarvanIV,Yone,Hwei,Thresh,Gragas,Shaco,Tristana,Ezreal,Sona,Red
Jax,Nunu,Hwei,Aphelios,Thresh,Kennen,Kayn,Viego,Draven,Ashe,Blue
Urgot,Graves,Taliyah,Ezreal,Soraka,Riven,Evelynn,Yasuo,Draven,TahmKench,Blue
Renekton,Skarner,Zoe,Draven,Thresh,Camille,Kindred,Kassadin,Jinx,Rell,Red
Vayne,Morgana,Corki,Jhin,Ashe,Tryndamere,Kayn,Taliyah,Karthus,Rell,Red
Camille,Shyvana,Akali,Jhin,Nautilus,Riven,Nidalee,AurelionSol,Ashe,Seraphine,Red
KSante,Skarner,Brand,Kalista,Thresh,Gwen,MonkeyKing,Ahri,Caitlyn,Zac,Red
Warwick,Lillia,Viego,Varus,Thresh,Garen,Graves,Taliyah,Draven,Zac,Red
Malphite,Karthus,Ekko,Corki,Renata,Gwen,Khazix,Akali,Lucian,Milio,Red
Urgot,Diana,Yasuo,Hwei,Zilean,Mordekaiser,Brand,Tristana,Lucian,Nami,Blue
Renekton,Kayn,Syndra,Lucian,Nami,Volibear,Brand,Akshan,Zeri,Ashe,Red
Renekton,Karthus,TwistedFate,Lucian,Nami,Irelia,Diana,Viego,Jinx,Milio,Blue
Jax,Taliyah,Akshan,Nautilus,Draven,Quinn,Karthus,Irelia,Zeri,Lulu,Red
Renekton,Hecarim,Akali,Corki,Varus,Viego,Gragas,Irelia,Aphelios,Nautilus,Red
Aatrox,Talon,Taliyah,Caitlyn,Ashe,TwistedFate,Poppy,Nautilus,Varus,Lux,Red
Garen,Vladimir,LeeSin,Jhin,Rakan,Camille,Lillia,Hwei,Yasuo,Braum,Red
Aatrox,Nidalee,Ekko,Caitlyn,Bard,Kayle,Graves,Sylas,Jhin,Nami,Red
Jayce,JarvanIV,Yasuo,Jinx,Annie,Camille,Nunu,AurelionSol,Kaisa,Alistar,Red
Aatrox,Mordekaiser,Akali,Ashe,Varus,Viego,Khazix,Lux,Sivir,Nami,Red
Renekton,Rengar,Ekko,Zeri,Yuumi,Rumble,FiddleSticks,AurelionSol,Samira,Zac,Blue
Fiora,Shaco,Hwei,Jinx,Rell,Darius,Gragas,Tristana,AurelionSol,Senna,Blue
Vayne,Poppy,Cassiopeia,Jinx,Sona,Varus,LeeSin,Leblanc,Zeri,Karma,Red
Riven,Nidalee,Tristana,Sivir,Annie,Varus,Lillia,Lucian,Kaisa,Nautilus,Blue
Gwen,JarvanIV,Viego,Lucian,Nami,Irelia,Lillia,Yasuo,Aphelios,Pyke,Red
Sett,Brand,Viego,Karthus,Zilean,Vayne,Sejuani,Akshan,Kaisa,Pyke,Blue
Gangplank,Ivern,Azir,Draven,Rell,Vladimir,Viego,Ahri,Kaisa,Alistar,Blue
Irelia,Vi,Fizz,Jhin,Lulu,Renekton,Briar,Xerath,Zeri,Soraka,Blue
Renekton,Zac,Diana,Jhin,Xerath,Illaoi,Khazix,Akali,Senna,Seraphine,Red
Camille,Maokai,Tristana,Jinx,Soraka,Malphite,JarvanIV,Zeri,Ashe,Alistar,Red
Akali,Pantheon,Corki,Kaisa,Rakan,Velkoz,XinZhao,Vayne,Varus,Neeko,Red
TahmKench,Graves,Irelia,Corki,Renata,Vayne,Viego,Akali,Draven,Blitzcrank,Red
Sion,Brand,Tristana,Zeri,Rakan,Zac,Viego,Taliyah,Smolder,Renata,Red
Sion,Nidalee,Poppy,Jinx,Thresh,Zac,Rammus,Viego,Varus,Soraka,Red
Skarner,Ekko,Qiyana,Lucian,Nami,Tristana,Zyra,Aatrox,Aphelios,Rakan,Red
Yasuo,Hecarim,Brand,Jhin,Senna,Viego,Karthus,Irelia,Caitlyn,Galio,Red
Mordekaiser,Graves,Orianna,Corki,Camille,JarvanIV,Kindred,Ahri,Caitlyn,Lux,Blue
Jax,Nidalee,Akshan,Aphelios,Rell,Viego,Kindred,Leblanc,Jinx,TahmKench,Blue
Sion,Shyvana,Taliyah,Aphelios,Janna,Yone,Gragas,Lux,Jinx,Bard,Red
Rengar,Brand,Pyke,Aphelios,Veigar,Darius,Karthus,Syndra,Zeri,Bard,Red
Ryze,Brand,Vladimir,Jhin,Zilean,Yasuo,Gragas,Qiyana,Kalista,Neeko,Blue
Rumble,Ivern,Qiyana,Varus,TwistedFate,Camille,Brand,Jayce,Jinx,Thresh,Red
Renekton,Kindred,Azir,Jinx,Blitzcrank,Vayne,Graves,Ahri,Twitch,Thresh,Red
Teemo,Ahri,Rammus,Kaisa,Thresh,Twitch,Karthus,Ryze,Lucian,Nami,Red
Viego,Taliyah,Ahri,Nilah,Nautilus,Jax,Ekko,Akali,Aphelios,Thresh,Red
Irelia,Lillia,Tristana,Ezreal,Yuumi,Malphite,Diana,Warwick,Varus,Ashe,Red
Olaf,Karthus,Viego,Kaisa,Morgana,Mordekaiser,LeeSin,Tristana,Jhin,Karma,Red
Ornn,Kindred,Annie,Lucian,Nami,Irelia,Taliyah,TwistedFate,Senna,Nautilus,Red
Yone,Brand,Akshan,Jhin,Zyra,Yasuo,LeeSin,Orianna,KogMaw,Neeko,Red
Jax,Nidalee,Talon,Varus,Alistar,Garen,LeeSin,Hwei,Jinx,Lulu,Blue
Skarner,Khazix,Ahri,Senna,Nautilus,Gnar,Rumble,Lucian,Varus,Soraka,Blue
Jax,Nidalee,Leblanc,Draven,Nautilus,Vayne,LeeSin,Taliyah,Lucian,Milio,Blue
Gangplank,Shaco,Akali,Varus,Annie,Renekton,Shen,Syndra,Lucian,Nami,Blue
Garen,Shaco,Sylas,Kalista,Nautilus,Karma,LeeSin,Irelia,Hwei,Rakan,Blue
Skarner,Karthus,Zed,Ezreal,Nami,Belveth,Rumble,Hwei,Lucian,Milio,Red
DrMundo,Kindred,Azir,Kaisa,Pyke,Diana,Jax,AurelionSol,Varus,Thresh,Red
Tristana,Warwick,Zoe,Amumu,Velkoz,Nami,Xerath,MissFortune,Yorick,Aphelios,Red
Zoe,Nidalee,Vi,Nami,Ashe,Riven,Chogath,Kaisa,Kled,Amumu,Red
Aatrox,Skarner,Twitch,Jinx,Blitzcrank,Darius,Gragas,Akshan,Varus,Ashe,Red
Kled,Taliyah,Diana,Draven,Nautilus,Urgot,Shyvana,Tristana,Jinx,Janna,Blue
Jayce,RekSai,Leblanc,Kalista,Soraka,Darius,Belveth,Lissandra,Varus,Rell,Red
Ryze,Lillia,Kled,Varus,Karma,Urgot,Nidalee,Galio,Jinx,Milio,Blue
Aatrox,RekSai,Leblanc,Caitlyn,Rumble,Malphite,XinZhao,Ahri,Lucian,Nami,Red
Rumble,Jax,Urgot,Kalista,Neeko,Fiora,LeeSin,Varus,Zoe,Camille,Red
Camille,Khazix,Ezreal,Morgana,Bard,Rumble,Kayn,TwistedFate,Yasuo,Zac,Blue
TwistedFate,Urgot,Taliyah,Zeri,Lulu,Vayne,Viego,Azir,Kalista,Ashe,Blue
Renekton,XinZhao,Leblanc,KogMaw,Lulu,Jax,Maokai,Tristana,Lucian,Nami,Red
Renekton,Nami,Taliyah,Lucian,Nidalee,Olaf,Hwei,Skarner,Jinx,Camille,Blue
Teemo,Kindred,Kalista,Renekton,Blitzcrank,Jayce,Khazix,Kassadin,Kaisa,Thresh,Red
Teemo,Sejuani,Akali,Draven,Ashe,Renekton,Shen,Ahri,Kalista,Rakan,Blue
Karma,Hwei,Zeri,Orianna,Thresh,Nami,TahmKench,Jhin,Xerath,Vayne,Blue
KSante,Viego,Zoe,Varus,Camille,Riven,Nidalee,Lucian,Kalista,Alistar,Red
Tristana,RekSai,Leblanc,Jinx,Thresh,Camille,Talon,TwistedFate,Lucian,Milio,Blue
Aatrox,Zed,Diana,Aphelios,Thresh,Singed,Udyr,Tryndamere,Draven,Blitzcrank,Red
Aatrox,Talon,Akali,Varus,Nautilus,Jax,Kayn,Galio,Zeri,Alistar,Blue
Camille,Ezreal,Nidalee,Aatrox,Ashe,TwistedFate,Nocturne,Swain,Varus,Blitzcrank,Red
Yone,Elise,Akali,Lucian,Nami,Kled,Karthus,Jayce,Ezreal,Diana,Blue
Irelia,Elise,Taliyah,Jinx,Thresh,Renekton,Rumble,Jayce,Samira,Nautilus,Blue
Jayce,Skarner,Ahri,Kaisa,Blitzcrank,Ornn,Viego,Leblanc,Kalista,Ashe,Blue
