Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Lucian,Nocturne,TwistedFate,Malphite,Rell,Renekton,Lillia,Kalista,Jinx,Poppy,Blue
Jax,Nidalee,Rammus,Jinx,Seraphine,Gragas,Kindred,Zed,Kaisa,Rell,Red
Kayle,Kayn,Hwei,Jinx,Thresh,Vayne,Kindred,Taliyah,Aphelios,Rell,Red
Viego,RekSai,Orianna,Tristana,Thresh,Teemo,Taliyah,Syndra,Jinx,Rell,Red
Yone,Diana,Tristana,Varus,Soraka,Sett,Viego,Sylas,Kaisa,Rell,Red
Jax,Hecarim,Syndra,Kalista,Pyke,Jinx,JarvanIV,AurelionSol,Gragas,Thresh,Red
Fiora,LeeSin,Leblanc,Seraphine,Sona,Ezreal,MasterYi,Ahri,KSante,Janna,Blue
Gangplank,Shaco,Azir,Kalista,Pyke,Irelia,Graves,AurelionSol,Draven,Thresh,Red
Mordekaiser,Khazix,Orianna,Varus,Renata,Riven,Viego,Taliyah,MissFortune,Rell,Red
Volibear,Viego,Ahri,Jhin,Rakan,Zac,Kindred,Karthus,Draven,Rell,Red
Warwick,LeeSin,Hwei,Kaisa,Nautilus,Zac,Lillia,Yasuo,Jhin,Karma,Red
Vayne,RekSai,Akshan,Jhin,Bard,Zac,Karthus,Yasuo,Sivir,Karma,Red
Sion,Brand,Tristana,Zeri,Rakan,Zac,Viego,Taliyah,Smolder,Renata,Red
Jayce,Taliyah,Viego,Jinx,Seraphine,DrMundo,Jax,Akshan,Corki,Annie,Red
Ryze,JarvanIV,Tristana,Aphelios,Taric,Irelia,Taliyah,Yone,Jinx,Lulu,Red
Mordekaiser,Graves,Orianna,Corki,Camille,JarvanIV,Kindred,Ahri,Caitlyn,Lux,Blue
Jax,Nidalee,Akshan,Aphelios,Rell,Viego,Kindred,Leblanc,Jinx,TahmKench,Blue
Pantheon,Taliyah,Tristana,Kalista,Rakan,Jax,Nidalee,Corki,Ashe,Milio,Red
Gragas,LeeSin,Tristana,Jhin,Leona,Kalista,RekSai,Taliyah,Aphelios,Soraka,Red
Zac,Vi,Yone,Lucian,Rell,Aatrox,Khazix,AurelionSol,Jhin,Blitzcrank,Red
Gnar,Amumu,Lux,Caitlyn,Karma,Zac,Lillia,Orianna,Aphelios,Milio,Red
Vladimir,Hecarim,Galio,Vayne,Janna,Jhin,Lillia,Corki,TwistedFate,Senna,Red
Taliyah,Kayn,Rengar,Seraphine,Janna,Tryndamere,Udyr,Syndra,Corki,Rell,Blue
Ziggs,Rengar,Tristana,TahmKench,Sona,Poppy,Hecarim,Zac,Qiyana,Rell,Blue
Skarner,Viego,Taliyah,Jhin,Rell,Jayce,Hecarim,Ahri,Kaisa,Lux,Blue
Kaisa,Taliyah,Zed,Ziggs,Karma,Jayce,Lillia,Corki,Jhin,Thresh,Red
Aatrox,Nunu,Veigar,Varus,Soraka,Camille,Hecarim,Taliyah,Samira,Rell,Red
Volibear,Viego,AurelionSol,Caitlyn,Milio,Renekton,Nidalee,Yone,Jhin,Seraphine,Red
Jax,Ivern,Kalista,Caitlyn,Ashe,Poppy,Khazix,Orianna,Jhin,Blitzcrank,Red
KSante,Zyra,Vladimir,Senna,Nautilus,Vayne,LeeSin,Taliyah,Jinx,Thresh,Blue
